concept,pos,tf_collection
's,VB,7
've,VB,6
keep,VB,5
're,VB,5
'm,VB,4
get,VB,3
stop,VB,3
started,VB,3
isis,VB,3
start,VB,2
keeps,VB,2
go,VB,2
hate,VB,2
raped,VB,2
advocates,VB,1
call,VB,1
jew,VB,1
means,VB,1
begun,VB,1
pandered,VB,1
try,VB,1
use,VB,1
helped,VB,1
stopped,VB,1
inciting,VB,1
intend,VB,1
like,VB,1
die,VB,1
forgetting,VB,1
hatred,VB,1
stuck,VB,1
read,VB,1
engraved,VB,1
apostates,VB,1
mention,VB,1
helps,VB,1
makes,VB,1
holds,VB,1
says,VB,1
make,VB,1
say,VB,1
teaches,VB,1
independently,VB,1
enjoy,VB,1
muslims,VB,1
avoid,VB,1
continue,VB,1
called,VB,1
finish,VB,1
whistleblower,VB,1
love,VB,1
show,VB,1
murdering,VB,1
u,VB,1
assholes,VB,1
drink,VB,1
mohammed,VB,1
honor,VB,1
does't,VB,1
fake,VB,1
please,VB,1
enjoyed,VB,1
loved,VB,1
draw,VB,1
left,VB,1
islamists,VB,1
everybody,VB,1
tell,VB,1
consider,VB,1
let,VB,1
mobs,VB,1
lets,VB,1
bigot,VB,1
begin,VB,1
