concept,pos,tf_collection
u,JJ,12
pretty,JJ,5
old,JJ,4
female,JJ,3
ta,JJ,3
human,JJ,3
good,JJ,3
busy,JJ,2
many,JJ,2
right,JJ,2
great,JJ,2
funny,JJ,2
crazy,JJ,2
least,JJ,2
better,JJ,1
unbelievanly,JJ,1
girl,JJ,1
sister,JJ,1
cant,JJ,1
much,JJ,1
hockey,JJ,1
dont,JJ,1
ham,JJ,1
high,JJ,1
smug,JJ,1
rly,JJ,1
fuck,JJ,1
stupid,JJ,1
hateful,JJ,1
yous,JJ,1
weird,JJ,1
ur,JJ,1
black,JJ,1
safe,JJ,1
hypocritical,JJ,1
adults,JJ,1
unfortunate,JJ,1
feminist,JJ,1
sugar,JJ,1
body,JJ,1
best,JJ,1
wrong,JJ,1
frkn,JJ,1
open,JJ,1
accent,JJ,1
painful,JJ,1
average,JJ,1
super,JJ,1
dumb,JJ,1
proper,JJ,1
possible,JJ,1
new,JJ,1
parallel,JJ,1
b/c,JJ,1
pls,JJ,1
dark,JJ,1
multiple,JJ,1
fun,JJ,1
comfortable,JJ,1
ridiculous,JJ,1
sexist,JJ,1
😄,JJ,1
sheep,JJ,1
hard,JJ,1
worth,JJ,1
full,JJ,1
ranch,JJ,1
common,JJ,1
rich,JJ,1
kinda,JJ,1
