concept,pos,tf_collection
n't,RB,430
just,RB,186
never,RB,52
really,RB,48
ever,RB,30
even,RB,29
still,RB,24
actually,RB,22
always,RB,14
now,RB,9
well,RB,9
also,RB,6
seriously,RB,6
honestly,RB,6
rather,RB,6
usually,RB,6
legally,RB,5
finally,RB,5
clearly,RB,4
nearly,RB,4
else,RB,4
better,RB,3
literally,RB,3
yet,RB,3
obviously,RB,3
probably,RB,3
around,RB,3
automatically,RB,3
personally,RB,3
already,RB,3
exactly,RB,2
barely,RB,2
recently,RB,2
successfully,RB,2
arsehole,RB,2
knowingly,RB,2
often,RB,2
alone,RB,2
rarely,RB,2
openly,RB,2
possibly,RB,2
totally,RB,2
constantly,RB,2
almost,RB,2
intentionally,RB,2
first,RB,2
definitely,RB,2
certainly,RB,2
pretty,RB,2
anti,RB,1
mentally,RB,1
andre,RB,1
allegedly,RB,1
together,RB,1
much,RB,1
dont,RB,1
selectively,RB,1
ugly,RB,1
actively,RB,1
continually,RB,1
therefore,RB,1
bodily,RB,1
either,RB,1
specifically,RB,1
heaven,RB,1
feminism,RB,1
prolly,RB,1
economically,RB,1
truly,RB,1
simply,RB,1
technically,RB,1
physically,RB,1
purfectly,RB,1
twitter,RB,1
currently,RB,1
legit,RB,1
desperately,RB,1
generally,RB,1
angrily,RB,1
completely,RB,1
absolutely,RB,1
magically,RB,1
severely,RB,1
strategically,RB,1
simultaneously,RB,1
publicly,RB,1
later,RB,1
mistakenly,RB,1
reallllly,RB,1
n,RB,1
poorly,RB,1
fully,RB,1
fashionably,RB,1
previously,RB,1
suddenly,RB,1
..song,RB,1
easily,RB,1
less,RB,1
purposefully,RB,1
visually,RB,1
essentially,RB,1
happily,RB,1
repeatedly,RB,1
npr,RB,1
individually,RB,1
genuinely,RB,1
na,RB,1
endlessly,RB,1
emotionally,RB,1
enough,RB,1
practically,RB,1
realistically,RB,1
vehemently,RB,1
