concept,pos,tf_collection
women,NN,129
girls,NN,101
woman,NN,40
kat,NN,32
men,NN,32
people,NN,19
feminists,NN,19
girl,NN,13
andre,NN,11
man,NN,10
females,NN,9
stop,NN,8
nikki,NN,7
bitches,NN,7
guy,NN,6
annie,NN,6
bitch,NN,5
dont,NN,5
gender,NN,4
female comedians,JJ NN,4
football,NN,4
go,NN,4
feminism,NN,4
producers,NN,4
fems,NN,4
two,CD,4
guys,NN,4
dick,NN,3
shit,NN,3
kats,NN,3
dishes,NN,3
movement,NN,3
sexist,NN,3
person,NN,3
feminist,NN,3
ta,NN,3
drama,NN,3
bimbos,NN,3
blondes,NN,3
smile,NN,3
rights,NN,3
putin,NN,3
cant,NN,3
children,NN,3
hair,NN,3
group,NN,2
ford,NN,2
dad,NN,2
dog,NN,2
leftovers,NN,2
television,NN,2
scientist,NN,2
feelings,NN,2
equality,NN,2
train,NN,2
frog,NN,2
glass house,NN NN,2
comedians,NN,2
female rappers,JJ NN,2
said men,VB NN,2
old,NN,2
todays,NN,2
tv,NN,2
bag,NN,2
figure,NN,2
ash,NN,2
driver,NN,2
hawks,NN,2
teams,NN,2
hey,NN,2
job,NN,2
colin,NN,2
fans,NN,2
chicks,NN,2
katie,NN,2
ah,NN,2
think women,VB NN,2
models,NN,2
sports,NN,2
w/o,NN,2
drivers,NN,2
fuck,NN,2
son,NN,2
hashtag,NN,2
mom,NN,2
instant restaurant,JJ NN,2
start,NN,2
times,NN,2
2,CD,2
guns,NN,2
sasquatch,NN,2
doctor,NN,2
ladies,NN,2
school,NN,2
blonde,NN,2
student,NN,2
mouth,NN,2
must,NN,2
y'all,NN,2
cat,NN,2
thor,NN,2
nhl,NN,2
yeah colin,NN NN,2
truck,NN,2
boys,NN,2
drasko,NN,2
hate,NN,2
hostile help line,JJ NN NN,1
skaters,NN,1
media,NN,1
drummers,NN,1
gender studies,NN NN,1
stats,NN,1
supporters,NN,1
book,NN,1
drugs,NN,1
viewers,NN,1
friendzone,NN,1
push,NN,1
scientists,NN,1
6,CD,1
sassy foods,NN NN,1
visitation,NN,1
timeline,NN,1
supre,NN,1
all day,DT NN,1
100s of years,CD IN NN,1
series,NN,1
sausage,NN,1
yall,NN,1
bimboz,NN,1
kant,NN,1
super bowl,JJ NN,1
horrible person,JJ NN,1
pink room,JJ NN,1
tumblr,NN,1
western boots,JJ NN,1
artists,NN,1
time magazine,NN NN,1
time feminism,NN NN,1
google,NN,1
needs,NN,1
rivals,NN,1
keeps,NN,1
might,NN,1
fouls,NN,1
sucks,NN,1
29,CD,1
female commentators,JJ NN,1
actor/actress,NN,1
ya,NN,1
twitter,NN,1
pure,NN,1
world countries,NN NN,1
sjw feminists,NN NN,1
white knights,JJ NN,1
frauleins,NN,1
welles,NN,1
every day,DT NN,1
criminals,NN,1
marvel,NN,1
protagonist,NN,1
bosom,NN,1
kardashians,NN,1
male survivors,JJ NN,1
look,NN,1
chicken,NN,1
mans,NN,1
crazy bambi,NN NN,1
majority of females,NN IN NN,1
bloody women,JJ NN,1
two people,CD NN,1
contestants,NN,1
scoring,NN,1
female pilots,JJ NN,1
accusers,NN,1
likes,NN,1
female captain,JJ NN,1
bf,NN,1
