concept,pos,tf_collection
'm,VB,33
's,VB,27
get,VB,27
've,VB,25
stop,VB,20
're,VB,16
keep,VB,8
please,VB,7
got,VB,6
hate,VB,5
gets,VB,5
stand,VB,5
cant,VB,4
start,VB,4
fucking,VB,4
like,VB,4
go,VB,3
think,VB,3
guys,VB,2
used,VB,2
cope,VB,2
females,VB,2
feminists,VB,2
kitchen,VB,2
started,VB,2
need,VB,2
dare,VB,2
y,VB,2
didnt,VB,2
mind,VB,2
wear,VB,2
lets,VB,1
announced,VB,1
let,VB,1
cooking,VB,1
justify,VB,1
says/does,VB,1
beat,VB,1
better,VB,1
pay,VB,1
blame,VB,1
feel,VB,1
stopped,VB,1
half,VB,1
cook,VB,1
theorize,VB,1
tried,VB,1
super,VB,1
ladies,VB,1
cock,VB,1
wait,VB,1
yell,VB,1
feminist,VB,1
want,VB,1
gotten,VB,1
becoming,VB,1
ya,VB,1
slapping,VB,1
u,VB,1
finished,VB,1
changing,VB,1
said,VB,1
spread,VB,1
appreciate,VB,1
presenting,VB,1
ta,VB,1
died,VB,1
help,VB,1
reread,VB,1
ppl,VB,1
find,VB,1
say,VB,1
proposed,VB,1
feminazis,VB,1
shouldnt,VB,1
carnt,VB,1
saying,VB,1
vile,VB,1
becomed,VB,1
die,VB,1
molls,VB,1
avoid,VB,1
mean,VB,1
ww,VB,1
brings,VB,1
skateboarding,VB,1
add,VB,1
cited,VB,1
sponsored,VB,1
prefer,VB,1
struggle,VB,1
tweeting,VB,1
seen,VB,1
aint,VB,1
suck,VB,1
mention,VB,1
follow,VB,1
helped,VB,1
getting,VB,1
empires,VB,1
tell,VB,1
shelters,VB,1
repeat,VB,1
fems,VB,1
im,VB,1
tennis,VB,1
declare,VB,1
denotes,VB,1
